storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storephone,storecountry,latlonlocation,latlonlocationdv
Advance Auto Parts,CarQuest,100171,317 LAKELAND BLVD,MATTOON,IL,61938,2172355678,USA,"39.4796469,-88.3770808","39.4796469,-88.3770808"
Advance Auto Parts,CarQuest,100172,302 S 8TH ST,MEDFORD,WI,54451,7157484380,USA,"45.1377487,-90.3328754","45.1377487,-90.3328754"
Advance Auto Parts,CarQuest,100173,113 W BROADWAY,WEST MEMPHIS,AR,72301,8707325041,USA,"35.1470585,-90.1862885","35.1470585,-90.1862885"
Advance Auto Parts,CarQuest,100174,807 ILLINOIS AVE,MENDOTA,IL,61342,8155399304,USA,"41.5493366,-89.1192652","41.5493366,-89.1192652"
Advance Auto Parts,CarQuest,100175,1209 10TH AVENUE,MENOMINEE,MI,49858,9068632617,USA,"45.1076381,-87.6169927","45.1076381,-87.6169927"
Advance Auto Parts,CarQuest,100176,303 E FRANKLIN ST,MERIDIAN,ID,83642,2084010035,USA,"43.604305,-116.3891749","43.604305,-116.3891749"
Advance Auto Parts,CarQuest,100177,1216 NORTH FRONTAGE ROAD,MERIDIAN,MS,39304,6014820001,USA,"32.3580576,-88.6848378","32.3580576,-88.6848378"
Advance Auto Parts,CarQuest,100178,1625 EAST MERRITT ISLAND CAUSE,MERRITT ISLAND,FL,32952,3214544005,USA,"28.2949008,-80.6659842","28.2949008,-80.6659842"
Advance Auto Parts,CarQuest,100179,522 S MAIN STREET,MIDDLEBURY,IN,46540,5748259529,USA,"41.6657959,-85.7054123","41.6657959,-85.7054123"
Advance Auto Parts,CarQuest,100180,300 E TEXAS AVE,MIDLAND,TX,79701,4326844456,USA,"31.9982695,-102.0716942","31.9982695,-102.0716942"
Advance Auto Parts,CarQuest,100181,2701 MILITARY RD,NIAGARA FALLS,NY,14304,7162970222,USA,"43.1091961,-78.9857835","43.1091961,-78.9857835"
Advance Auto Parts,CarQuest,100182,2517 ROUTE 44,SALT POINT,NY,12578,8456775977,USA,"41.7830564,-73.7569332","41.7830564,-73.7569332"
Advance Auto Parts,CarQuest,100183,21 SYCAMORE STREET,MILLINOCKET,ME,04462,2077238553,USA,"45.6563572,-68.6884735","45.6563572,-68.6884735"
Advance Auto Parts,CarQuest,100184,N86 W 16300 APPLETON AVE,MENOMONEE FALLS,WI,53051,2622516330,USA,"43.1743857,-88.1119425","43.1743857,-88.1119425"
Advance Auto Parts,CarQuest,100185,5762 N TEUTONIA AVE,MILWAUKEE,WI,53209,4144637370,USA,"43.1222266,-87.9503393","43.1222266,-87.9503393"
Advance Auto Parts,CarQuest,100186,3107 SPRING HILL AVE,MOBILE,AL,36607,2514799434,USA,"30.7005183,-88.1140598","30.7005183,-88.1140598"
Advance Auto Parts,CarQuest,100187,5390 HWY 90 DRIVE,MOBILE,AL,36619,2516660134,USA,"30.5915028,-88.1693849","30.5915028,-88.1693849"
Advance Auto Parts,CarQuest,100188,600 AIR BASE BLVD,MONTGOMERY,AL,36108,3348341083,USA,"32.3621665,-86.3487259","32.3621665,-86.3487259"
Advance Auto Parts,CarQuest,100189,243 CATOMA ST,MONTGOMERY,AL,36104,3342626426,USA,"32.37614,-86.3138256","32.37614,-86.3138256"
Advance Auto Parts,CarQuest,100190,6301 ATLANTA HWY,MONTGOMERY,AL,36117,3342726453,USA,"32.3828857,-86.189566","32.3828857,-86.189566"
Advance Auto Parts,CarQuest,100191,918 S MAIN ST,MONMOUTH,IL,61462,3097347946,USA,"40.9022986,-90.6488875","40.9022986,-90.6488875"
Advance Auto Parts,CarQuest,100192,2460 MONTEBELLO SQUARE DR,COLORADO SPRINGS,CO,80918,7195288862,USA,"38.9090356,-104.7823834","38.9090356,-104.7823834"
Advance Auto Parts,CarQuest,100193,177 CHURCH STREET,MONTELLO,WI,53949,6082972123,USA,"43.7960328,-89.318507","43.7960328,-89.318507"
Advance Auto Parts,CarQuest,100194,565 EDISON STREET,MOSINEE,WI,54455,7156933404,USA,"44.7888023,-89.6908358","44.7888023,-89.6908358"
Advance Auto Parts,CarQuest,100195,212 FIRST AVENUE SE,MOULTRIE,GA,31768,2299853232,USA,"31.1786293,-83.785921","31.1786293,-83.785921"
Advance Auto Parts,CarQuest,100196,7645 WEST 148 ST,APPLE VALLEY,MN,55124,9524325093,USA,"44.7339502,-93.2205816","44.7339502,-93.2205816"
Advance Auto Parts,CarQuest,100197,210 OAK STREET,FARMINGTON,MN,55024,6514608334,USA,"44.6388569,-93.1458914","44.6388569,-93.1458914"
Advance Auto Parts,CarQuest,100198,8179 UNIVERSITY AVE NE,SPRING LAKE PARK,MN,55432,7635713620,USA,"45.11594,-93.2623762","45.11594,-93.2623762"
Advance Auto Parts,CarQuest,100199,21560 GRENADA  AVE WEST,LAKEVILLE,MN,55044,9524693435,USA,"44.6368424,-93.2209742","44.6368424,-93.2209742"
Advance Auto Parts,CarQuest,100200,47 N. CENTURY AVE,MAPLEWOOD,MN,55119,6517392902,USA,"44.942872,-92.985298","44.942872,-92.985298"
Advance Auto Parts,CarQuest,100201,6237 PENN AVE S,RICHFIELD,MN,55423,6128693281,USA,"44.8892838,-93.3084382","44.8892838,-93.3084382"
Advance Auto Parts,CarQuest,100202,3320 WEST 151ST ST.,ROSEMOUNT,MN,55068,6514231159,USA,"44.7291895,-93.1332962","44.7291895,-93.1332962"
Advance Auto Parts,CarQuest,100203,6118 OSGOOD AVE. N.,STILLWATER,MN,55082,6514395556,USA,"45.0369613,-92.808069","45.0369613,-92.808069"
Advance Auto Parts,CarQuest,100204,4306 SOUTH STATE STREET,MURRAY,UT,84107,8012931130,USA,"40.6777604,-111.8890083","40.6777604,-111.8890083"
Advance Auto Parts,CarQuest,100205,2402 AUBURN WAY NORTH,AUBURN,WA,98002,2538540464,USA,"47.3287103,-122.2210125","47.3287103,-122.2210125"
Advance Auto Parts,CarQuest,100206,911 3RD ST SOUTH,NAMPA,ID,83651,2083180250,USA,"43.5784855,-116.5648623","43.5784855,-116.5648623"
Advance Auto Parts,CarQuest,100207,505 LIGON DRIVE,NASHVILLE,TN,37204,6152551146,USA,"36.122188,-86.763377","36.122188,-86.763377"
Advance Auto Parts,CarQuest,100208,491 MYATT DR,MADISON,TN,37115,6158683804,USA,"36.2784628,-86.690108","36.2784628,-86.690108"
Advance Auto Parts,CarQuest,100209,3542 SHORELINE DRIVE,NAVARRE,MN,55391,9524710156,USA,"44.9349521,-93.6130344","44.9349521,-93.6130344"
Advance Auto Parts,CarQuest,100210,550 E DIVISION STREET,NEILLSVILLE,WI,54456,7157433116,USA,"44.5524279,-90.5897097","44.5524279,-90.5897097"
Advance Auto Parts,CarQuest,100211,1901 S. GLENBERNIE ROAD,NEW BERN,NC,28562,2526381145,USA,"35.1052003,-77.0992983","35.1052003,-77.0992983"
Advance Auto Parts,CarQuest,100212,88 MOOSEHEAD TRAIL,NEWPORT,ME,04953,2073685398,USA,"44.8400157,-69.2821351","44.8400157,-69.2821351"
Advance Auto Parts,CarQuest,100213,81 ELM ST,BIDDEFORD,ME,04005,2072844501,USA,"43.4959694,-70.4568307","43.4959694,-70.4568307"
Advance Auto Parts,CarQuest,100214,5308 S.E. ABSHIRE BLVD.,BELLEVIEW,FL,34420,3522459144,USA,"29.0599898,-82.060925","29.0599898,-82.060925"
Advance Auto Parts,CarQuest,100215,4046 RIVERDALE ROAD,OGDEN,UT,84405,8013930883,USA,"41.1903762,-111.980428","41.1903762,-111.980428"
Advance Auto Parts,CarQuest,100216,6830 GOODMAN ROAD,OLIVE BRANCH,MS,38654,6628952020,USA,"34.9628529,-89.8691572","34.9628529,-89.8691572"
Advance Auto Parts,CarQuest,100217,2100 HARRISON AVE NW,OLYMPIA,WA,98502,3603573347,USA,"47.0466927,-122.9268921","47.0466927,-122.9268921"
Advance Auto Parts,CarQuest,100218,11202 I STREET SUITE 112,OMAHA,NE,68137,4023390181,USA,"41.2169036,-96.0890838","41.2169036,-96.0890838"
Advance Auto Parts,CarQuest,100219,20 RIVER STREET,ONEONTA,NY,13820-0607,6074323600,USA,"42.4487163,-75.0658145","42.4487163,-75.0658145"
Advance Auto Parts,CarQuest,100220,3329 SOUTHWESTERN BLVD,ORCHARD PARK,NY,14127,7166755115,USA,"42.7939914,-78.7543716","42.7939914,-78.7543716"
Advance Auto Parts,CarQuest,100221,1484 N. STATE STREET,OREM,UT,84057,8017649219,USA,"40.3245548,-111.7062702","40.3245548,-111.7062702"
Advance Auto Parts,CarQuest,100222,2050A N. FORSYTH ROAD,ORLANDO,FL,32807,4076715404,USA,"28.5747912,-81.2948691","28.5747912,-81.2948691"
Advance Auto Parts,CarQuest,100223,1951 MCCOY RD,ORLANDO,FL,32809,3212060400,USA,"28.4517078,-81.3546366","28.4517078,-81.3546366"
Advance Auto Parts,CarQuest,100224,16 N PARRAMORE AVE,ORLANDO,FL,32801,4072093267,USA,"28.5425585,-81.3893653","28.5425585,-81.3893653"
Advance Auto Parts,CarQuest,100225,2706 W OXFORD LOOP SUITE 107,OXFORD,MS,38655-5715,6622347813,USA,"34.3671134,-89.5710516","34.3671134,-89.5710516"
Advance Auto Parts,CarQuest,100226,1107 E MAIN ST,PARK HILLS,MO,63601,5734312018,USA,"37.8424992,-90.4977898","37.8424992,-90.4977898"
Advance Auto Parts,CarQuest,100227,12332 SO PARKER RD,PARKER,CO,80134,3038412800,USA,"39.4926588,-104.7587938","39.4926588,-104.7587938"
Advance Auto Parts,CarQuest,100228,1505 13TH ST.,PARKERSBURG,WV,26101,3044225456,USA,"39.2665311,-81.5373155","39.2665311,-81.5373155"
Advance Auto Parts,CarQuest,100229,1325 W. COURT STREET,PASCO,WA,99301,5094925128,USA,"46.2418759,-119.1068296","46.2418759,-119.1068296"
Advance Auto Parts,CarQuest,100230,1062 WEST 800 SOUTH,PAYSON,UT,84651,8014652556,USA,"40.0316391,-111.751079","40.0316391,-111.751079"
Advance Auto Parts,CarQuest,100231,525 E. BLACKHAWK AVE,PRAIRIE DU CHIEN,WI,53821,6083266494,USA,"43.0523051,-91.1398749","43.0523051,-91.1398749"
Advance Auto Parts,CarQuest,100232,148 SOUTH LAKE STREET,PHILLIPS,WI,54555,7153392171,USA,"45.6886355,-90.3958348","45.6886355,-90.3958348"
Advance Auto Parts,CarQuest,100233,2926 E THOMAS RD,PHOENIX,AZ,85016,6029560910,USA,"33.4806651,-112.0185273","33.4806651,-112.0185273"
Advance Auto Parts,CarQuest,100234,1006 N ARIZONA AVE,CHANDLER,AZ,85224,4809636386,USA,"33.3210531,-111.8426361","33.3210531,-111.8426361"
Advance Auto Parts,CarQuest,100235,6170 W CHANDLER BLVD SUITE 6,CHANDLER,AZ,85226,4809618816,USA,"33.3060337,-111.9484764","33.3060337,-111.9484764"
Advance Auto Parts,CarQuest,100236,410 E. SIOUX AVE.,PIERRE,SD,57501,6052247374,USA,"44.3645287,-100.3489562","44.3645287,-100.3489562"
Advance Auto Parts,CarQuest,100237,1205 E M36,PINCKNEY,MI,48169,7348783111,USA,"42.4580993,-83.9331562","42.4580993,-83.9331562"
Advance Auto Parts,CarQuest,100238,1445 BABCOCK BLVD,PITTSBURGH,PA,15209,4128212700,USA,"40.497229,-79.9784605","40.497229,-79.9784605"
Advance Auto Parts,CarQuest,100239,420 ROUTE 22 SUITE 1,DELMONT,PA,15626,7244685966,USA,"40.4020729,-79.584253","40.4020729,-79.584253"
Advance Auto Parts,CarQuest,100240,250 ELM ST,PITTSFIELD,MA,01201,4134426936,USA,"42.4430392,-73.234377","42.4430392,-73.234377"
Advance Auto Parts,CarQuest,100241,127 S0MERSET PLAZA,PITTSFIELD,ME,04967,2074875732,USA,"44.786424,-69.3996901","44.786424,-69.3996901"
Advance Auto Parts,CarQuest,100242,1400 BUSINESS HIGHWAY 151,PLATTEVILLE,WI,53818,6083482427,USA,"42.7330992,-90.455911","42.7330992,-90.455911"
Advance Auto Parts,CarQuest,100243,727 S.E. 122 AVE,PORTLAND,OR,97233,5032531113,USA,"45.5170715,-122.5382166","45.5170715,-122.5382166"
Advance Auto Parts,CarQuest,100244,2120 E. POWELL BLVD,GRESHAM,OR,97080,5036670800,USA,"45.4944332,-122.4108","45.4944332,-122.4108"
Advance Auto Parts,CarQuest,100245,4909 S.E. POWELL BLVD,PORTLAND,OR,97206,5037771470,USA,"45.4979344,-122.6122699","45.4979344,-122.6122699"
Advance Auto Parts,CarQuest,100246,7209 NE HWY 99,VANCOUVER,WA,98665,3606942574,USA,"45.6746101,-122.6622762","45.6746101,-122.6622762"
Advance Auto Parts,CarQuest,100247,17401 SE MCLOUGHLIN BLVD,MILWAUKIE,OR,97267,5036597110,USA,"45.3963909,-122.6173774","45.3963909,-122.6173774"
Advance Auto Parts,CarQuest,100248,1430 WEST GRAND AVENUE,PORT WASHINGTON,WI,53074,2622610375,USA,"43.387295,-87.8979632","43.387295,-87.8979632"
Advance Auto Parts,CarQuest,100249,6275 WEST US HIGHWAY 6,PORTAGE,IN,46368,2197627735,USA,"41.550489,-87.163126","41.550489,-87.163126"
Advance Auto Parts,CarQuest,100250,2507  NE ANDRESEN,VANCOUVER,WA,98661,3608926650,USA,"45.6402295,-122.599611","45.6402295,-122.599611"
Advance Auto Parts,CarQuest,100251,3484 N GLASSFORD HILL RD,PRESCOTT VALLEY,AZ,86314,9287724744,USA,"34.5937067,-112.3399526","34.5937067,-112.3399526"
Advance Auto Parts,CarQuest,100252,634 MAIN ST,PRESQUE ISLE,ME,04769,2077685281,USA,"46.6853303,-68.0137197","46.6853303,-68.0137197"
Advance Auto Parts,CarQuest,100253,314 SOUTH HWY 55,PRICE,UT,84501,4356375190,USA,"39.6010108,-110.8055402","39.6010108,-110.8055402"
Advance Auto Parts,CarQuest,100254,602 N MAIN ST,PRINCETON,IL,61356,8158754402,USA,"41.3809392,-89.4655769","41.3809392,-89.4655769"
Advance Auto Parts,CarQuest,100255,490 SOUTH UNIVERSITY AVE,PROVO,UT,84606,8013563556,USA,"40.2273792,-111.6592254","40.2273792,-111.6592254"
Advance Auto Parts,CarQuest,100256,406 AIRPORT BLVD,MORRISVILLE,NC,27560,9194694804,USA,"35.8401818,-78.8306217","35.8401818,-78.8306217"
Advance Auto Parts,CarQuest,100257,812 SOUTH ADAMS,RAYNE,LA,70578,3373347527,USA,"30.2280684,-92.2690789","30.2280684,-92.2690789"
Advance Auto Parts,CarQuest,100258,1015 MAIN STREET,RED WING,MN,55066-0101,6513886746,USA,"44.5626121,-92.5423508","44.5626121,-92.5423508"
Advance Auto Parts,CarQuest,100259,8701 RESEARCH BLVD,AUSTIN,TX,78758,5128340200,USA,"30.36488,-97.7171454","30.36488,-97.7171454"
Advance Auto Parts,CarQuest,100260,103 N. 2ND STREET EAST,REXBURG,ID,83440,2083564922,USA,"43.8284551,-111.7784937","43.8284551,-111.7784937"
Advance Auto Parts,CarQuest,100261,1830 NORTH STEVENS,RHINELANDER,WI,54501,7153625488,USA,"45.6549989,-89.3919255","45.6549989,-89.3919255"
Advance Auto Parts,CarQuest,100262,4350 RIDGECREST DRIVE STE A1,RIO RANCHO,NM,87124,5058913429,USA,"35.2527476,-106.6496242","35.2527476,-106.6496242"
Advance Auto Parts,CarQuest,100263,713 N MAIN ST,RIVER FALLS,WI,54022,7154257271,USA,"44.8691524,-92.6223","44.8691524,-92.6223"
Advance Auto Parts,CarQuest,100264,1239 ROANOKE AVE,ROANOKE RAPIDS,NC,27870,2525373578,USA,"36.4513461,-77.6600095","36.4513461,-77.6600095"
Advance Auto Parts,CarQuest,100265,1760  HWY 52 NORTH,ROCHESTER,MN,55901,5072894066,USA,"34.349131,-79.9045256","34.349131,-79.9045256"
Advance Auto Parts,CarQuest,100266,960 ELK STREET,ROCK SPRINGS,WY,82901,3073623741,USA,"41.5951989,-109.2267028","41.5951989,-109.2267028"
Advance Auto Parts,CarQuest,100267,803 20 TH STREET,ROCKFORD,IL,61104,8153972131,USA,"42.2591241,-89.0580185","42.2591241,-89.0580185"
Advance Auto Parts,CarQuest,100268,450 STEPHENS STREET NE,ROSEBURG,OR,97470,5416730963,USA,"43.2157198,-123.3430092","43.2157198,-123.3430092"
Advance Auto Parts,CarQuest,100269,1995 W COUNTY RD B2,ROSEVILLE,MN,55113,6516437615,USA,"45.0160045,-93.1850405","45.0160045,-93.1850405"
Advance Auto Parts,CarQuest,100270,125 S MAIN STEET,ROSWELL,NM,88203,5756224890,USA,"33.3923475,-104.5222434","33.3923475,-104.5222434"
Advance Auto Parts,CarQuest,100271,207 SOUTH MAIN ST.,RUSHVILLE,IN,46173,7659323917,USA,"39.6059413,-85.4451731","39.6059413,-85.4451731"
Advance Auto Parts,CarQuest,100272,3110 S. LAMAR BLVD,AUSTIN,TX,78704,5124408848,USA,"30.242263,-97.784758","30.242263,-97.784758"
Advance Auto Parts,CarQuest,100273,480 W. IDAHO STREET,ELKO,NV,89801,7757385116,USA,"40.8283719,-115.772543","40.8283719,-115.772543"
Advance Auto Parts,CarQuest,100274,1590 12TH STREET SE,SALEM,OR,97301,5035888175,USA,"44.9222739,-123.030029","44.9222739,-123.030029"
Advance Auto Parts,CarQuest,100275,4795 WEST 3500 SOUTH,WEST VALLEY CITY,UT,84120,8019661011,USA,"40.6962969,-112.0053632","40.6962969,-112.0053632"
Advance Auto Parts,CarQuest,100276,510 S GUADALUPE,SAN MARCOS,TX,78666,5123923068,USA,"29.874989,-97.9403673","29.874989,-97.9403673"
Advance Auto Parts,CarQuest,100277,13819 SAN PEDRO,SAN ANTONIO,TX,78232,2105457278,USA,"29.5683171,-98.4820701","29.5683171,-98.4820701"
Advance Auto Parts,CarQuest,100278,514 W COURT S,SEGUIN,TX,78155,8303791156,USA,"29.5692858,-97.9704826","29.5692858,-97.9704826"
Advance Auto Parts,CarQuest,100279,1209 SILER ROAD,SANTA FE,NM,87505,5059848535,USA,"35.6602556,-105.9941299","35.6602556,-105.9941299"
Advance Auto Parts,CarQuest,100280,1225 CURRY RD,SCHENECTADY,NY,12306,5183553120,USA,"42.7851339,-73.9656929","42.7851339,-73.9656929"
Advance Auto Parts,CarQuest,100281,11818 S MERIDIAN,PUYALLUP,WA,98373,2538481591,USA,"47.1484601,-122.2935555","47.1484601,-122.2935555"
Advance Auto Parts,CarQuest,100282,4505 38TH AVE SW,SEATTLE,WA,98126,2069355800,USA,"47.5625969,-122.3803836","47.5625969,-122.3803836"
Advance Auto Parts,CarQuest,100283,705 EAST TAYLOR ST,SHERMAN,TX,75090,9038924004,USA,"33.6569116,-96.6082564","33.6569116,-96.6082564"
Advance Auto Parts,CarQuest,100284,591 BLUE RIVER PARKWAY,SILVERTHORNE,CO,80498,9704688900,USA,"39.6350601,-106.0759967","39.6350601,-106.0759967"
Advance Auto Parts,CarQuest,100285,1362 WEST 7800 SOUTH,WEST JORDAN,UT,84088,8012338097,USA,"40.6099699,-111.930653","40.6099699,-111.930653"
Advance Auto Parts,CarQuest,100286,1931 W 3500 S,WEST VALLEY CITY,UT,84120,8018862060,USA,"40.6964764,-111.9433206","40.6964764,-111.9433206"
Advance Auto Parts,CarQuest,100287,1033 AVE D,SNOHOMISH,WA,98290,3605683181,USA,"47.924482,-122.0972884","47.924482,-122.0972884"
Advance Auto Parts,CarQuest,100288,4846 S CENTRAL AVE,PHOENIX,AZ,85040,6024765530,USA,"33.4017319,-112.0738588","33.4017319,-112.0738588"
Advance Auto Parts,CarQuest,100289,6553 HIGHWAY 88,SODUS,NY,14551,3154836955,USA,"43.2366542,-77.0727706","43.2366542,-77.0727706"
Advance Auto Parts,CarQuest,100290,300 WEST MAIN STREET,SPARTANBURG,SC,29306,8645837251,USA,"34.9481916,-81.9369006","34.9481916,-81.9369006"
Advance Auto Parts,CarQuest,100291,332 S. BLACK RIVER ST.,SPARTA,WI,54656,6082693195,USA,"43.9410927,-90.8211235","43.9410927,-90.8211235"
Advance Auto Parts,CarQuest,100292,110 SOUTH PINES ROAD,SPOKANE,WA,99206,5098925990,USA,"47.6556601,-117.240277","47.6556601,-117.240277"
Advance Auto Parts,CarQuest,100293,4630 E SPRAGUE AVE,SPOKANE VALLEY,WA,99212,5098383525,USA,"47.6567994,-117.3423134","47.6567994,-117.3423134"
Advance Auto Parts,CarQuest,100294,265 SOUTH CASCADE DR,SPRINGVILLE,NY,14141,7165990006,USA,"42.5044235,-78.6894625","42.5044235,-78.6894625"
Advance Auto Parts,CarQuest,100295,3033 KING ROAD,EAST CHINA,MI,48054,8103294791,USA,"42.8158294,-82.5138059","42.8158294,-82.5138059"
Advance Auto Parts,CarQuest,100296,151 W. SAINT JULIEN STREET,ST. PETER,MN,56082,5079311580,USA,"44.3402634,-93.9506644","44.3402634,-93.9506644"
Advance Auto Parts,CarQuest,100297,311 S MAIN ST,STANDISH,MI,48658,9898464571,USA,"43.9790164,-83.9590049","43.9790164,-83.9590049"
Advance Auto Parts,CarQuest,100298,625 SOUTH BROADWAY,STANLEY,WI,54768,7156445579,USA,"44.9491141,-90.9373186","44.9491141,-90.9373186"
Advance Auto Parts,CarQuest,100299,120 WEST HOLLISTER,STAYTON,OR,97383,5037693491,USA,"44.8041454,-122.7949098","44.8041454,-122.7949098"
Advance Auto Parts,CarQuest,100300,2400 LINCOLN AVE,STEAMBOAT SPRINGS,CO,80477,9708791175,USA,"40.5034175,-106.8619969","40.5034175,-106.8619969"
Advance Auto Parts,CarQuest,100301,88 SUNSET BLVD,STEVENS POINT,WI,54481,7153446800,USA,"44.5243553,-89.5476257","44.5243553,-89.5476257"
Advance Auto Parts,CarQuest,100302,12362 NATURAL BRIDGE RD,BRIDGETON,MO,63044,3147391101,USA,"38.7556261,-90.4242289","38.7556261,-90.4242289"
Advance Auto Parts,CarQuest,100303,2665 SCOTT AVE SUITE H,ST LOUIS,MO,63103,3145331121,USA,"38.6269667,-90.2204359","38.6269667,-90.2204359"
Advance Auto Parts,CarQuest,100304,236 TURNER BLVD,ST PETERS,MO,63376,6362791572,USA,"38.8055728,-90.6468668","38.8055728,-90.6468668"
Advance Auto Parts,CarQuest,100305,934 EAST EDWARDSVILLE ROAD,WOOD RIVER,IL,62095,6182592356,USA,"38.8642591,-90.0811375","38.8642591,-90.0811375"
Advance Auto Parts,CarQuest,100306,5122 SOUTH M 106,STOCKBRIDGE,MI,49285,5178518282,USA,"42.4369594,-84.1807386","42.4369594,-84.1807386"
Advance Auto Parts,CarQuest,100307,119 S MAIN ST,SYCAMORE,IL,60178,8158954528,USA,"41.9878685,-88.6850448","41.9878685,-88.6850448"
Advance Auto Parts,CarQuest,100308,412 N DUVAL ST,TALLAHASSEE,FL,32302,8502228780,USA,"30.4461905,-84.2835501","30.4461905,-84.2835501"
Advance Auto Parts,CarQuest,100309,264 S SANDUSKY ST,TIFFIN,OH,44883,4194474524,USA,"41.113186,-83.1877549","41.113186,-83.1877549"
Advance Auto Parts,CarQuest,100310,516 SOUTH MAIN,TIFTON,GA,31794,2293822247,USA,"31.4494923,-83.5090611","31.4494923,-83.5090611"
Advance Auto Parts,CarQuest,100311,1865 N. MAIN ST.,TILLAMOOK,OR,97141,5038428241,USA,"45.4698625,-123.8436402","45.4698625,-123.8436402"
Advance Auto Parts,CarQuest,100312,604 N THREE NOTCH ST,TROY,AL,36081,3345660640,USA,"31.8124809,-85.9722595","31.8124809,-85.9722595"
Advance Auto Parts,CarQuest,100313,1806 KIMBERLY ROAD,TWIN FALLS,ID,83303,2087337322,USA,"42.548119,-114.449877","42.548119,-114.449877"
Advance Auto Parts,CarQuest,100314,336 HWY 190,VALPARAISO,FL,32580,8506784169,USA,"30.5109594,-86.4948771","30.5109594,-86.4948771"
Advance Auto Parts,CarQuest,100315,1401A  ATLANTIC HWY,WALDOBORO,ME,04572,2078324843,USA,"44.100919,-69.3865428","44.100919,-69.3865428"
Advance Auto Parts,CarQuest,100316,717 W FIRST ST,WAPATO,WA,98951,5098772896,USA,"46.4475784,-120.4289614","46.4475784,-120.4289614"
Advance Auto Parts,CarQuest,100317,3454 YOUNGSTOWN ROAD S.E.,WARREN,OH,44484,3303921548,USA,"41.2187339,-80.7785292","41.2187339,-80.7785292"
Advance Auto Parts,CarQuest,100318,302 E MAIN ST,WAUTOMA,WI,54982,9207872530,USA,"44.0741323,-89.2817943","44.0741323,-89.2817943"
Advance Auto Parts,CarQuest,100319,3901 ELIDA RD,LIMA,OH,45807,4192282231,USA,"40.7742622,-84.1750412","40.7742622,-84.1750412"
Advance Auto Parts,CarQuest,100320,1184 W. MAIN ST.,WHITEWATER,WI,53190,2624580594,USA,"42.8352015,-88.7529701","42.8352015,-88.7529701"
Advance Auto Parts,CarQuest,100321,8715 MAIN ST,WHITMORE LAKE,MI,48189,7344494419,USA,"42.4105888,-83.7616794","42.4105888,-83.7616794"
Advance Auto Parts,CarQuest,100322,1405 S. TARBORO STREET,WILSON,NC,27893,2522376191,USA,"35.721362,-77.9365569","35.721362,-77.9365569"
Advance Auto Parts,CarQuest,100323,186 8TH STREET,WINDOM,MN,56101,5078311310,USA,"43.8645113,-95.1145863","43.8645113,-95.1145863"
Advance Auto Parts,CarQuest,100324,430 SPRING STREET,WINDSOR LOCKS,CT,06096,8606239964,USA,"41.9323759,-72.6579704","41.9323759,-72.6579704"
Advance Auto Parts,CarQuest,100325,319 BAUD ST,WINNEMUCCA,NV,89445,7756232531,USA,"40.9742731,-117.7335575","40.9742731,-117.7335575"
Advance Auto Parts,CarQuest,100326,27 BAY STREET,WINSLOW,ME,04901,2078732788,USA,"44.5439026,-69.6263337","44.5439026,-69.6263337"
Advance Auto Parts,CarQuest,100327,6748 ALOMA AVE,WINTER PARK,FL,32792,4076739051,USA,"28.6050287,-81.2985944","28.6050287,-81.2985944"
